Partido;Fase;Duracion;Nombre azul;Gana Azul;Primera Torre Azul;Numero de Torres Derribadas Azul;Numero total de Dragones Azul;Dragones de Nube Azul;Dragones de Oceano Azul;Dragones de Montaña Azul;Dragones Infernales Azul;Dragones Ancianos Azul;Numero de Barones Nashor Azul;Primera Sangre Azul;Oro Azul;Region Azul;Asesinatos Azul; Muertes Azul; Asesinatos/Muertes Azul;Diferencia de Oro azul;Nombre Rojo;Gana Rojo;Primera Torre Rojo;Numero de Torres Derribadas Rojo;Numero total de Dragones Rojo;Dragones de Nube Rojo;Dragones de Oceano Rojo;Dragones de Montaña Rojo;Dragones Infernales Rojo;Dragones Ancianos Rojo;Numero de Barones Nashor Rojo;Primera Sangre Rojo;Oro Rojo;Region Rojo;Asesinatos Rojo; Muertes Rojo; Asesinatos/Muertes Rojo;Diferencia de Oro rojo
G2 Esports vs FPX - Game 1;GroupPhase;2454;Funplus Phoenix;1;0;10;4;2;1;0;0;1;2;1;80000;CN;22;7;3,142857;9800;G2 Esports;0;1;6;2;0;1;0;1;0;0;0;70200;EUW;7;22;0,3181818;-9800
G2 Esports vs FPX - Game 2;GroupPhase;1538;G2 Esports;0;0;1;2;1;0;0;1;0;0;0;38000;EUW;4;20;0,2;-13900;Funplus Phoenix;1;1;9;1;1;0;0;0;0;1;1;51900;CN;20;4;5,0;13900
G2 Esports vs FPX - Game 3;GroupPhase;1822;Funplus Phoenix;1;1;7;3;0;1;2;0;0;2;0;55600;CN;10;8;1,25;6600;G2 Esports;0;0;1;2;0;0;1;1;0;0;1;49000;EUW;8;10;0,8;-6600
G2 Esports vs SKT - Game 1;GroupPhase;2073;SK Telecom T1;0;1;4;3;2;0;0;1;0;1;0;61400;KR;8;10;0,8;-1700;G2 Esports;1;0;9;2;1;0;0;1;0;0;1;63100;EUW;10;8;1,25;1700
G2 Esports vs SKT - Game 2;GroupPhase;2159;G2 Esports;0;0;4;2;0;1;1;0;0;0;1;61200;EUW;7;21;0,33333334;-12100;SK Telecom T1;1;1;10;4;0;1;2;0;1;2;0;73300;KR;21;7;3,0;12100
G2 Esports vs SKT - Game 3;GroupPhase;2020;SK Telecom T1;0;1;4;2;0;0;2;0;0;2;1;61400;KR;12;19;0,6315789;-3200;G2 Esports;1;0;9;3;1;0;1;1;0;0;0;64600;EUW;19;12;1,5833334;3200
G2 Esports vs SKT - Game 4;GroupPhase;2161;G2 Esports;1;0;8;2;1;0;1;0;0;1;1;67200;EUW;23;22;1,0454545;3100;SK Telecom T1;0;1;7;4;0;3;1;0;0;1;0;64100;KR;22;23;0,95652175;-3100
IG vs FPX - Game 1;GroupPhase;1705;Funplus Phoenix;1;0;9;3;0;1;1;1;0;1;0;54200;CN;17;9;1,8888888;9600;Invictus Gaming;0;1;1;0;0;0;0;0;0;0;1;44600;CN;9;17;0,5294118;-9600
IG vs FPX - Game 2;GroupPhase;2549;Invictus Gaming;1;0;8;2;0;0;1;0;1;1;0;79800;CN;28;31;0,9032258;2000;Funplus Phoenix;0;1;8;4;2;1;1;0;0;1;1;77800;CN;31;28;1,1071428;-2000
IG vs FPX - Game 3;GroupPhase;1549;Funplus Phoenix;1;1;9;3;0;2;0;1;0;1;1;50600;CN;20;8;2,5;7900;Invictus Gaming;0;0;3;0;0;0;0;0;0;0;0;42700;CN;8;20;0,4;-7900
IG vs FPX - Game 4;GroupPhase;2089;Invictus Gaming;0;0;7;2;0;1;1;0;0;1;0;63900;CN;21;34;0,61764705;-6400;Funplus Phoenix;1;1;9;3;1;0;2;0;0;1;1;70300;CN;34;21;1,6190476;6400
DWG vs G2 Esports - Game 1;GroupPhase;2061;G2 Esports;1;1;9;3;1;0;2;0;0;1;1;65400;EUW;14;9;1,5555556;7600;DAMWON Gaming;0;0;3;1;0;0;1;0;0;0;0;57800;KR;9;14;0,64285713;-7600
