Partido,Fase,Duracion,Ganador,Primera Torre Ganador,Numero de Torres Derribadas Ganador,Numero total de Dragones Ganador,Dragones de Viento Ganador,Dragones de Ocenado Ganador,Dragones de Montaña Ganador,Dragones Infernales Ganador,Dragones Ancianos Ganador,Numero de Barones Nashor Ganador,Primera Sangre Ganador,Oro Ganador,Region Ganador,Lado del mapa Ganador,Asesinatos Ganador, Muertes Ganador, Asesinatos/Muertes Ganador,Perdedor,Primera Torre Perdedor,Numero de Torres Derribadas Perdedor,Numero total de Dragones Perdedor,Dragones de Viento Perdedor,Dragones de Ocenado Perdedor,Dragones de Montaña Perdedor,Dragones Infernales Perdedor,Dragones Ancianos Perdedor,Numero de Barones Nashor Perdedor,Primera Sangre Perdedor,Oro Perdedor,Region Perdedor,Lado del mapa Perdedor,Asesinatos Perdedor, Muertes Perdedor, Asesinatos/Muertes Perdedor
GAM Esports vs FPX,Group Phase,1719,Funplus Phoenix,1,7,3,1,1,0,1,0,1,1,59.7,CN,rojo,20,6.0,3.3333333,GAM Esports,0,2,0,0,0,0,0,0,0,0,46.8,VN,azul,6,20.0,0.3
HKA vs G2 Esports,Group Phase,1837,G2 Esports,1,11,3,0,1,1,1,0,1,1,60.7,EUW,rojo,14,10.0,1.4,Hong Kong Attitude,0,4,1,0,0,1,0,0,0,0,51.0,TW,azul,10,14.0,0.71428573
Cloud9 vs Griffin,Group Phase,2608,Griffin,0,11,4,0,1,2,0,1,2,1,87.1,KR,rojo,19,8.0,2.375,Cloud9,1,7,2,0,1,1,0,0,1,0,81.1,NA,azul,8,19.0,0.42105263
Splyce vs J Team,Group Phase,2681,J Team,0,11,6,0,3,1,1,1,3,1,86.3,TW,rojo,16,5.0,3.2,Splyce,1,4,0,0,0,0,0,0,0,0,74.9,EUW,azul,5,16.0,0.3125
FPX vs GAM Esports,Group Phase,1413,Funplus Phoenix,1,10,2,0,0,0,2,0,1,1,50.8,CN,azul,19,2.0,9.5,GAM Esports,0,0,0,0,0,0,0,0,0,0,34.9,VN,rojo,2,19.0,0.10526316
CG vs SKT,Group Phase,1570,SK Telecom T1,1,10,4,1,0,0,3,0,1,1,53.8,KR,rojo,16,2.0,8.0,Clutch Gaming,0,0,0,0,0,0,0,0,0,0,36.8,NA,azul,2,16.0,0.125
RNG vs Fnatic,Group Phase,2181,Royal Never Give Up,0,9,2,0,1,0,1,0,1,1,69.9,CN,azul,15,7.0,2.142857,Fnatic,1,2,3,0,2,1,0,0,0,0,60.4,EUW,rojo,7,15.0,0.46666667
G2 Esports vs Cloud9,Group Phase,1477,G2 Esports,1,10,2,0,0,2,0,0,1,1,53.6,EUW,azul,26,13.0,2.0,Cloud9,0,2,0,0,0,0,0,0,0,0,39.0,NA,rojo,13,26.0,0.5
Griffin vs HKA,Group Phase,2271,Griffin,0,8,3,1,1,0,1,0,1,0,74.3,KR,azul,16,9.0,1.7777778,Hong Kong Attitude,1,2,2,0,1,0,1,0,0,1,62.6,TW,rojo,9,16.0,0.5625
J Team vs GAM Esports,Group Phase,2346,GAM Esports,1,7,3,1,1,0,1,0,0,0,73.8,VN,rojo,22,12.0,1.8333334,J Team,0,1,1,0,0,0,1,0,0,1,66.1,TW,azul,12,22.0,0.54545456
FPX vs Splyce,Group Phase,2093,Funplus Phoenix,0,9,2,1,0,1,0,0,1,1,68.9,CN,azul,18,11.0,1.6363636,Splyce,1,4,3,1,1,1,0,0,0,0,59.5,EUW,rojo,11,18.0,0.6111111
AHQ vs Team Liquid,Group Phase,2522,Team Liquid,1,8,4,0,0,1,2,1,1,1,77.2,NA,rojo,19,22.0,0.8636364,ahq e-Sports Club,0,6,2,0,0,1,1,0,1,0,74.7,TW,azul,22,19.0,1.1578947
IG vs DWG,Group Phase,2294,DAMWON Gaming,0,10,3,0,0,2,0,1,2,1,75.3,KR,rojo,22,13.0,1.6923077,Invictus Gaming,1,6,3,0,2,1,0,0,0,0,66.9,CN,azul,13,22.0,0.59090906
Cloud9 vs HKA,Group Phase,2822,Cloud9,1,10,4,0,0,1,2,1,2,1,89.1,NA,azul,18,19.0,0.94736844,Hong Kong Attitude,0,2,2,0,1,1,0,0,0,0,80.4,TW,rojo,19,18.0,1.0555556
Griffin vs G2 Esports,Group Phase,1788,G2 Esports,1,11,3,1,0,2,0,0,1,1,59.7,EUW,rojo,16,7.0,2.2857144,Griffin,0,2,1,0,0,1,0,0,0,0,48.8,KR,azul,7,16.0,0.4375
AHQ vs DWG,Group Phase,1656,DAMWON Gaming,0,9,3,1,1,1,0,0,1,0,51.7,KR,rojo,9,6.0,1.5,ahq e-Sports Club,1,1,1,0,1,0,0,0,0,1,42.1,TW,azul,6,9.0,0.6666667
Team Liquid vs IG,Group Phase,2027,Invictus Gaming,1,11,3,2,0,0,1,0,1,0,65.2,CN,rojo,17,11.0,1.5454545,Team Liquid,0,5,2,1,1,0,0,0,0,1,58.8,NA,azul,11,17.0,0.64705884
Fnatic vs CG,Group Phase,2344,Fnatic,0,8,2,0,1,0,0,1,0,1,75.0,EUW,azul,23,12.0,1.9166666,Clutch Gaming,1,5,4,0,2,2,0,0,0,0,65.8,NA,rojo,12,23.0,0.5217391
